Key,English
buffTendingGDesc,"Your [f21b10]Amputation Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with a [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 1 sec\n-10% Mobility\n16% more Health Loss"
buffTendingDDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 6 sec\n-4% Mobility\n10% more Health Loss"
buffDirtyBandageDDesc,"Your [f21b10]Severe Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]First Aid Bandage[-] soon or it could get worse.\n\n-1 Stamina every 1 sec\n-7% Mobility\n16% more Health Loss\nUntil Treated"
buffAmputationWoundDesc,"You've removed all the dead flesh and now you have an [f21b10]Amputation Wound[-]. Treat it with [35bd00]Bandage[-] to stop the bleeding and be sure to change it with a [35bd00]Sanitizing Bandage[-] when it gets dirty.\n\n-3 Stamina every 1 sec\n-1 Health every 10 sec\n-15% Mobility\n-1 Wellness every 1 min\n25% more Health Loss\nUntil Treated"
buffTendingThreeDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 2 sec\n-4% Mobility\n10% more Health Loss"
buffWoundDesc,"You've gotten a [f21b10]Wound[-]. Treat it with a [35bd00]First Aid Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 1 sec\n-1 Health every 20 sec\n-8% Mobility\n-1 Wellness every 2 min\n20% more Health Loss\nUntil Treated"
buffTendingADesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 10 sec\n-1% Mobility\n4% more Health Loss"
buffDirtyBandageADesc,"Your [f21b10]Small Wound’s[-] bandage is dirty and starting to smell. Change it with another [35bd00]Bandage[-] soon or it could get worse\n\n-1 Stamina every 3 sec\n-3% Mobility\n10% more Health Loss\nUntil Treated"
buffTendingBDesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 9 sec\n-2% Mobility\n6% more Health Loss"
buffSevereWoundDesc,"You've gotten a [f21b10]Severe Wound[-]. Treat it with [35bd00]Sanitized Bandage[-] and be sure to change it when it gets dirty.\n\n-2 Stamina every 1 sec\n-1 Health every 15 sec\n-12% Mobility\n-1 Wellness every 1.5 min\n25% more Health Loss\nUntil Treated"
buffInjuryConcussionDesc,"You have suffered a [f21b10]Concussion[-] and may experience dizziness and headaches. You will not be able to use the iron sights on ranged weapons until its healed\nUse [35bd00]Painkillers[-] to cure this.\n\nYour max health is lowered by {cvar(.ConcussionHealthBlockage:0.0)}."
buffSmallWoundDesc,"You've gotten a [f21b10]Small wound[-]. Treat it with a [35bd00]Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 2 sec\n-1 Health every 25 sec\n-4% Mobility\n-1 Wellness every 2.5 min\n15% more Health Loss\nUntil Treated"
buffArmBrokenDesc,"You have gotten a [f21b10]Broken Arm[-], limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload speed and swing speeds. A [35bd00]Splint[-] or cast will speed up healing.\nRanged or power attacks will delay healing or even hurt you.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
buffArmCastDesc,"Your arm is in a cast, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
buffArmSplintedDesc,"You arm is splinted, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
buffArmSprainedDesc,"Your arm is sprained, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
buffNewbieCoatDesc,"All your status effects persist through death. This coat temporarily protects you from the heat and the cold. You are also protected from the full penalty of death until level 20.\nWhile your Coat is active there is no XP penalty on death but you will still lose Wellness up to a max of 10 at level 21.\n\nThis protection will decrease and disappear completely so think ahead."
AmputationTrackerDesc,"Player Amputations {cvar($AmputationCounter:00)}\n\n- +{cvar($AmputationCounter:00)}% Longer to Pick Locks\n- +{cvar($AmputationCounter:00)}% Longer Crafting Time\n-  -{cvar($AmputationCounter:00)}% Slower Mobility"
StimulantDesc,"You are under the effect of Stimulants. The more Stimulants you take the stronger the effect gets, with a max effect of 6 active Stimulants\n\nActive Stimulant Dosage - {cvar($StimulantCounter:0)}\n- Increased Thirst\n- Stops Fatigue drain\n- +{cvar($StimulantSpeedDisplay:00)}% Mobility\n- +{cvar($StimulantDosageDisplay:00)}% Scavenging Speed\n- +{cvar($StimulantDosageDisplay:00)}% Harvesting Amount\n- +{cvar($StimulantCounter:0)}°\n- -{cvar($StimulantDownSideDisplay:0)}% Weapon Handling"
StimulantWithdrawalDesc,"Looks like those Stimulants have a down side and your going through withdrawal. You can wait for it to pass or take some more stimulants\n\nWithdrawal Severity - Lv.{cvar($WithdrawalStrength:0)}\n- Increased Fatigue drain\n- -{cvar($WithdrawalSpeedDisplay:00)}% Mobility\n- -{cvar($WithdrawalScavengingDisplay:00)}% Scavenging Speed\n- -{cvar($WithdrawalShiver:00)}°\n- -{cvar($WithdrawalSpeedDisplay:0)}% Weapon Handling"
buffFatiguedDesc,"You’re getting fatigued. Rest on a bed or furniture to raise your Fatigue Level back to full. Resting on Beds will also heal you.\n\n- +10% Health Loss\n- -5% Mobility Speed"
buffHealthyDietDesc,"Because you’re eating a very balanced diet you gain these benefits\n\n- Naturally healing when full\n- Able to gain Wellness from food\n- Able to gain Health from food\n- +1 Stamina Per 3 seconds\n- +10% Movement Speed"
buffBalancedDietDesc,"Because you’re eating a balanced diet you gain these benefits\n-Able to gain Wellness from food\n-Able to gain Health from food"
buffGoodDietDesc,"Because you’re eating a more balanced diet you gain these benefits\n-Able to gain Health from food"
buffLacerationPart1BleedDesc,"You have recived a deep cut. Use a [35bd00]Bandage[-] to stop the bleeding. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-5 HP per Min\n-.2 Wellness per Min\n{cvar(.lacerationLeftFootHealthBlockage:0)}% Health Blockage\n-8% Bleed Resistance"
buffLacerationPart2SutureDesc,"To close your deep cut you need a [35bd00]Suture Kit[-] to close the wound. If it’s not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.2 Wellness per Min\n{cvar(.lacerationLeftFootHealthBlockage:0)}% Health Blockage\n-8% Bleed Resistance"
buffLacerationLeftFootStitchedDesc,"The laceration on your left foot is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationLeftFootDirtyBandageDesc,"The laceration on your left foot needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationLeftFootTendedDesc,"The laceration on your left foot is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n-2% Bleed Resistance"
buffLacerationRightFootStitchedDesc,"The laceration on your right foot is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationRightFootDirtyBandageDesc,"The laceration on your right foot needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationRightFootTendedDesc,"The laceration on your right foot is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationLeftLegStitchedDesc,"The laceration on your left leg is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationLeftLegDirtyBandageDesc,"The laceration on your left leg needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationLeftLegTendedDesc,"The laceration on your left leg is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationRightLegStitchedDesc,"The laceration on your right leg is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationRightLegDirtyBandageDesc,"The laceration on your right leg needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationRightLegTendedDesc,"The laceration on your right leg is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationLeftArmStitchedDesc,"The laceration on your left arm is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationLeftArmDirtyBandageDesc,"The laceration on your left arm needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationLeftArmTendedDesc,"The laceration on your left arm is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationRightArmStitchedDesc,"The laceration on your right arm is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationRightArmDirtyBandageDesc,"The laceration on your right arm needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationRightArmTendedDesc,"The laceration on your right arm is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationLeftHandStitchedDesc,"The laceration on your left hand is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationLeftHandDirtyBandageDesc,"The laceration on your left hand needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationLeftHandTendedDesc,"The laceration on your left hand is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationRightHandStitchedDesc,"The laceration on your right hand is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationRightHandDirtyBandageDesc,"The laceration on your right hand needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationRightHandTendedDesc,"The laceration on your right hand is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationStomachStitchedDesc,"The laceration on your stomach is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationStomachDirtyBandageDesc,"The laceration on your stomach needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationStomachTendedDesc,"The laceration on your stomach is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffLacerationNeckStitchedDesc,"The laceration on your neck is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n-3% Bleed Resistance"
buffLacerationNeckDirtyBandageDesc,"The laceration on your neck needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-].\n\nEffects:\n-.1 Wellness per Min\n-4% Bleed Resistance"
buffLacerationNeckTendedDesc,"The laceration on your neck is treated. Try not to hurt it so it will heal.\n\nEffects:\n-2% Bleed Resistance"
buffSprainedLeftAnkleDesc,"You have sprained your left ankle. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing.\n\nEffects:\n-7% Mobility\n-2% Jump Strength"
buffBrokenLeftAnkleDesc,"You have broken your left ankle. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n-.5 Wellness per Min\n-15% Mobility\n-5% Jump Strength\n{cvar(.BrokenLeftAnkleHealthBlockage:0)} Health Blockage"
buffLeftAnkleSplintedDesc,"Your left ankle is splinted and healing. Try not to hurt it while it’s healing\n\nEffects:\n-7% Mobility\n-3% Jump Strength\n{cvar(.LeftAnkleHealthBlockage:0)} Health Blockage"
